# name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE           FILTER   radius_arcmin   counts   exposure      count_rate     
  MCG-6-30-15       203.973778   -34.295538   0029740801     0.00775    0.0392   PrimePartialW2    Medium   0.991172        2716.0   119771.2031   0.0226765694   
  MCG-6-30-15       203.973778   -34.295538   0693781201     0.00775    0.0392   PrimePartialW2    Medium   0.980268        3163.0   124713.2031   0.02536219038  
  MCG-6-30-15       203.973778   -34.295538   0693781301     0.00775    0.0392   PrimePartialW2    Medium   1.053           2430.0   128219.2031   0.01895191938  
  MCG-6-30-15       203.973778   -34.295538   0693781401     0.00775    0.0392   PrimePartialW2    Medium   1.09479         2197.0   35954.62109   0.06110480192  
  Mrk1040           37.060317    31.311658    0554990101     0.01665    0.0663   PrimePartialW3    Thin1    1.33333         7.0      247.584198    0.02827320991  
  Mrk1040           37.060317    31.311658    0760530201     0.01665    0.0663   PrimePartialW2    Thin1    1.33333         1132.0   91667.39062   0.01234899338  
  Mrk1040           37.060317    31.311658    0760530301     0.01665    0.0663   PrimePartialW2    Thin1    1.33333         1296.0   82165.79688   0.01577298644  
  Mrk205            185.434254   75.310787    0124110101     0.07085    0.028    PrimeFullWindow   Medium   1.33333         274.0    16931.32031   0.01618302619  
  Mrk205            185.434254   75.310787    0124110101_1   0.07085    0.028    PrimeFullWindow   Medium   1.33333         274.0    16931.32031   0.01618302619  
  Mrk205            185.434254   75.310787    0124110101_2   0.07085    0.028    PrimeFullWindow   Medium   1.33333         274.0    16931.32031   0.01618302619  
  Mrk205            185.434254   75.310787    0401240201     0.07085    0.028    PrimePartialW3    Thin1    1.33333         646.0    31969.33984   0.0202068608   
  Mrk205            185.434254   75.310787    0401240301     0.07085    0.028    PrimePartialW3    Thin1    1.33333         1268.0   34586.05078   0.03666217944  
  Mrk205            185.434254   75.310787    0401240501     0.07085    0.028    PrimePartialW3    Thin1    1.33333         1510.0   50778.10938   0.02973722375  
  Mrk335            1.581339     20.202914    0101040101     0.02578    0.0356   PrimePartialW3    Medium   1.33333         368.0    33771.71875   0.01089669148  
